Designator,Mid X,Mid Y,Rotation,Layer
C1,219.82,-108.1,180.0,top
C10,220.82,-122.405,270.0,top
C2,217.07,-105.825,270.0,top
C3,225.705,-112.74,0.0,top
C4,227.18,-119.29,0.0,top
C5,219.305,-115.36,180.0,top
C6,215.96,-121.22,0.0,top
C7,215.56,-117.05,180.0,top
C8,217.37,-103.56,180.0,top
C9,226.1,-122.695,270.0,top
D1,230.8275,-102.13,180.0,top
J1,222.875,-99.6375,180.0,top
R1,228.505,-121.14,180.0,top
R2,219.26,-122.48,90.0,top
R3,220.34,-119.35,270.0,top
R4,219.245,-116.99,180.0,top
R5,228.47,-103.03,90.0,top
R6,223.941,-110.236,270.0,top
R7,222.421,-110.241,90.0,top
SW1,230.97,-116.34,90.0,top
U1,223.561,-116.246,180.0,top
U2,223.16,-106.48,90.0,top
U3,219.5,-105.2875,270.0,top
U4,217.475,-119.115,270.0,top
Y1,223.48,-121.97,270.0,top
